season,playerId,player,team,position,conference,bio_firstName,bio_lastName,bio_height,bio_weight,bio_jersey,bio_position,bio_homeCity,bio_homeState,bio_homeCountry,bio_homeLatitude,bio_homeLongitude,bio_homeCountyFIPS,bio_recruitIds,bio_recruitIds_count,stat_receiving_LONG,stat_receiving_REC,stat_receiving_TD,stat_receiving_YDS,stat_receiving_YPR,stat_interceptions_AVG,stat_interceptions_INT,stat_interceptions_TD,stat_interceptions_YDS,stat_kickReturns_AVG,stat_kickReturns_LONG,stat_kickReturns_NO,stat_kickReturns_TD,stat_kickReturns_YDS,stat_passing_ATT,stat_passing_COMPLETIONS,stat_passing_INT,stat_passing_PCT,stat_passing_TD,stat_passing_YDS,stat_passing_YPA,stat_puntReturns_AVG,stat_puntReturns_LONG,stat_puntReturns_NO,stat_puntReturns_TD,stat_puntReturns_YDS,stat_rushing_CAR,stat_rushing_LONG,stat_rushing_TD,stat_rushing_YDS,stat_rushing_YPC,stat_punting_In_20,stat_punting_LONG,stat_punting_NO,stat_punting_TB,stat_punting_YDS,stat_punting_YPP,stat_kicking_FGA,stat_kicking_FGM,stat_kicking_LONG,stat_kicking_PCT,stat_kicking_PTS,stat_kicking_XPA,stat_kicking_XPM,stat_defensive_PD,stat_defensive_QB_HUR,stat_defensive_SACKS,stat_defensive_SOLO,stat_defensive_TD,stat_defensive_TFL,stat_defensive_TOT,stat_fumbles_FUM,stat_fumbles_LOST,stat_fumbles_REC
2011,482013,Broderick Alexander,Akron,FB,Mid-American,Broderick,Alexander,72.0,,2.0,FB,Covington,GA,USA,33.5967815,-83.8601827,13217,159149,1.0,22.0,4.0,0.0,37.0,9.3,,,,,,,,,,,,,,,,,,,,,,48.0,19.0,0.0,196.0,4.1,,,,,,,,,,,,,,,,,,,,,,,
2011,514597,Bryce Cheek,Akron,CB,MAC,Bryce,Cheek,72.0,,29.0,CB,Lewis Center,OH,USA,40.1983958,-83.0101843,39041,154657,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000588,Carl Washington,Akron,CB,MAC,Carl,Washington,70.0,185.0,24.0,CB,Columbus,OH,USA,39.9622601,-83.0007065,39049,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,514599,Chiz Chisholm,Akron,,MAC,Chiz,Chisholm,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000592,Clayton Chenault,Akron,OL,MAC,Clayton,Chenault,74.0,301.0,66.0,OL,Akron,OH,USA,41.083064,-81.518485,39153,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,483081,Clayton Moore,Akron,QB,Mid-American,Clayton,Moore,73.0,,8.0,QB,Louisville,MS,USA,33.1237377,-89.0550624,28159,187712,1.0,8.0,1.0,1.0,8.0,8.0,,,,,,,,,,309.0,147.0,9.0,0.476,9.0,1655.0,5.4,,,,,,91.0,18.0,1.0,132.0,1.5,,,,,,,,,,,,,,,,,,,,,,,
2011,514606,Cody Grice,Akron,DL,MAC,Cody,Grice,71.0,,36.0,DL,Akron,OH,USA,41.083064,-81.518485,39153,154363,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000567,Connor Seeman,Akron,DL,MAC,Connor,Seeman,75.0,235.0,93.0,DL,Copley,OH,USA,41.0989439,-81.6445685,39153,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000621,Curtis Watson,Akron,QB,MAC,Curtis,Watson,77.0,250.0,12.0,QB,Bellevue,OH,USA,41.2736647,-82.8415763,39143,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,-1000611,Dajour Morris,Akron,DT,MAC,Dajour,Morris,74.0,305.0,55.0,DT,Johnstown,PA,USA,40.3267407,-78.9219698,42021,154571,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
